State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
New South Wales,125180,132750,150600,170960,169020,144210,141980,140860,152630,155530,160910,170890,198300,191450,194270,172430,70530,145820
Victoria,81230,89860,108600,123450,132640,109130,104900,112280,119250,122250,128170,140220,159630,161170,168310,150640,27140,120480
Queensland,65390,73070,86490,99670,103110,84890,84250,93210,92800,83800,78980,83170,87820,85440,91660,85590,23440,58580
South Australia,16620,20550,23490,25160,27260,24820,20160,22980,22580,23620,23280,23410,23820,24100,26650,27740,6020,20940
Western Australia,39980,47170,53830,66150,69710,57920,64930,77980,74380,60030,53290,51540,48640,44190,48080,50400,12970,30560
Tasmania,3170,3400,3440,3900,4290,4010,3470,3780,3920,4190,4210,4210,4700,5110,5880,6510,1610,5150
Northern Territory,4430,3910,4560,4710,5540,4670,4810,6750,7840,6260,6900,6370,6900,5020,5550,4120,1450,4910
Australian Capital Territory,5410,5830,6420,7350,8190,8270,7270,9490,8690,8990,9520,9470,10330,10970,9950,9380,2810,8450
Australia,341410,376540,437430,501350,519760,437920,431770,467330,482090,464670,465260,489280,540140,527450,550350,506810,145970,394890
